Title,Day,Hour,OccupancyPercent
9/11 Cafe & Concept Store,Su,6,0
9/11 Cafe & Concept Store,Su,7,0
9/11 Cafe & Concept Store,Su,8,0
9/11 Cafe & Concept Store,Su,9,9
9/11 Cafe & Concept Store,Su,10,20
9/11 Cafe & Concept Store,Su,11,32
9/11 Cafe & Concept Store,Su,12,50
9/11 Cafe & Concept Store,Su,13,60
9/11 Cafe & Concept Store,Su,14,65
9/11 Cafe & Concept Store,Su,15,64
9/11 Cafe & Concept Store,Su,16,62
9/11 Cafe & Concept Store,Su,17,64
9/11 Cafe & Concept Store,Su,18,69
9/11 Cafe & Concept Store,Su,19,79
9/11 Cafe & Concept Store,Su,20,85
9/11 Cafe & Concept Store,Su,21,82
9/11 Cafe & Concept Store,Su,22,66
9/11 Cafe & Concept Store,Su,23,0
9/11 Cafe & Concept Store,Mo,6,0
9/11 Cafe & Concept Store,Mo,7,0
9/11 Cafe & Concept Store,Mo,8,0
9/11 Cafe & Concept Store,Mo,9,12
9/11 Cafe & Concept Store,Mo,10,25
9/11 Cafe & Concept Store,Mo,11,39
9/11 Cafe & Concept Store,Mo,12,50
9/11 Cafe & Concept Store,Mo,13,61
9/11 Cafe & Concept Store,Mo,14,67
9/11 Cafe & Concept Store,Mo,15,71
9/11 Cafe & Concept Store,Mo,16,68
9/11 Cafe & Concept Store,Mo,17,69
9/11 Cafe & Concept Store,Mo,18,70
9/11 Cafe & Concept Store,Mo,19,76
9/11 Cafe & Concept Store,Mo,20,79
9/11 Cafe & Concept Store,Mo,21,71
9/11 Cafe & Concept Store,Mo,22,52
9/11 Cafe & Concept Store,Mo,23,0
9/11 Cafe & Concept Store,Tu,6,0
9/11 Cafe & Concept Store,Tu,7,0
9/11 Cafe & Concept Store,Tu,8,0
9/11 Cafe & Concept Store,Tu,9,18
9/11 Cafe & Concept Store,Tu,10,27
9/11 Cafe & Concept Store,Tu,11,35
9/11 Cafe & Concept Store,Tu,12,45
9/11 Cafe & Concept Store,Tu,13,57
9/11 Cafe & Concept Store,Tu,14,65
9/11 Cafe & Concept Store,Tu,15,65
9/11 Cafe & Concept Store,Tu,16,61
9/11 Cafe & Concept Store,Tu,17,66
9/11 Cafe & Concept Store,Tu,18,76
9/11 Cafe & Concept Store,Tu,19,84
9/11 Cafe & Concept Store,Tu,20,88
9/11 Cafe & Concept Store,Tu,21,80
9/11 Cafe & Concept Store,Tu,22,63
9/11 Cafe & Concept Store,Tu,23,0
9/11 Cafe & Concept Store,We,6,0
9/11 Cafe & Concept Store,We,7,0
9/11 Cafe & Concept Store,We,8,0
9/11 Cafe & Concept Store,We,9,24
9/11 Cafe & Concept Store,We,10,40
9/11 Cafe & Concept Store,We,11,53
9/11 Cafe & Concept Store,We,12,66
9/11 Cafe & Concept Store,We,13,77
9/11 Cafe & Concept Store,We,14,84
9/11 Cafe & Concept Store,We,15,84
9/11 Cafe & Concept Store,We,16,81
9/11 Cafe & Concept Store,We,17,75
9/11 Cafe & Concept Store,We,18,75
9/11 Cafe & Concept Store,We,19,77
9/11 Cafe & Concept Store,We,20,83
9/11 Cafe & Concept Store,We,21,75
9/11 Cafe & Concept Store,We,22,59
9/11 Cafe & Concept Store,We,23,0
9/11 Cafe & Concept Store,Th,6,0
9/11 Cafe & Concept Store,Th,7,0
9/11 Cafe & Concept Store,Th,8,0
9/11 Cafe & Concept Store,Th,9,18
9/11 Cafe & Concept Store,Th,10,29
9/11 Cafe & Concept Store,Th,11,44
9/11 Cafe & Concept Store,Th,12,60
9/11 Cafe & Concept Store,Th,13,71
9/11 Cafe & Concept Store,Th,14,73
9/11 Cafe & Concept Store,Th,15,70
9/11 Cafe & Concept Store,Th,16,68
9/11 Cafe & Concept Store,Th,17,71
9/11 Cafe & Concept Store,Th,18,75
9/11 Cafe & Concept Store,Th,19,76
9/11 Cafe & Concept Store,Th,20,76
9/11 Cafe & Concept Store,Th,21,71
9/11 Cafe & Concept Store,Th,22,57
9/11 Cafe & Concept Store,Th,23,0
